word,is_error,textract_score,ner_score,pos_score,gibb_score,word_length,contains_nonalpha,dict_presence,closest_word,editdistance,jaccard_similarity,string_containment,char_intersection_count
economicial,1,0.982695688,0,0,0.066265938,11,0,0,economical,0.090909091,1,1,8
conversly,1,0.97978436,0.578614473,0,0.071054591,9,0,0,conversely,0.1,1,1,9
repistentives,1,0.955654172,0,0,0.090129923,13,0,0,representatives,0.333333333,0.888888889,1,8
rgister,1,0.978665521,0,0,0.073334145,7,0,0,register,0.125,1,1,6
contet,1,0.955001524,0,0,0.096281585,6,0,0,contented,0.333333333,0.833333333,1,5
depett,1,0.978693187,0,0,0.041690735,6,0,0,debit,0.5,0.5,0.75,3
perhapes,1,0.965643159,0,0,0.059156594,8,0,0,perhaps,0.125,1,1,6
flangacy,1,0.981784187,0.847409904,0,0.055601419,8,0,0,flagrancy,0.333333333,0.875,1,7
intellcial,1,0.952040717,0,0,0.053679669,10,0,0,intellectual,0.25,0.875,1,7
theifs,1,0.96568287,0.798589766,0,0.039461726,6,0,0,thieves,0.428571429,0.714285714,0.833333333,5
galvinazed,1,0.98862566,0,0,0.051562731,10,0,0,galvanized,0.2,1,1,9
mountianus,1,0.988135214,0.979054689,0,0.075004123,10,0,0,mountainous,0.272727273,1,1,8
entheusastic,1,0.972128516,0,0,0.083288039,12,0,0,enthusiastic,0.166666667,1,1,9
appropeate,1,0.971081283,0,0,0.0706186,10,0,0,appropriate,0.181818182,0.857142857,1,6
efficientys,1,0.965207863,0.875820756,0,0.045930995,11,0,0,efficiency,0.181818182,0.75,1,6
priear,1,0.955529704,0,0,0.078631458,6,0,0,prior,0.333333333,0.5,0.75,3
expent,1,0.977825016,0.83897984,0,0.08522142,6,0,0,expert,0.166666667,0.666666667,0.8,4
axceptiable,1,0.970572277,0,0,0.040853295,11,0,0,acceptable,0.181818182,0.777777778,1,7
wath,1,0.985520233,0,0,0.21251891,4,0,0,what,0.5,1,1,4
preshen,1,0.971380589,0.510807991,0,0.140919946,7,0,0,precision,0.444444444,0.555555556,0.833333333,5
pricipal,1,0.953127097,0,0,0.062344897,8,0,0,principal,0.111111111,0.857142857,1,6
annalises,1,0.962470489,0.698370695,0,0.071974482,9,0,0,analysis,0.333333333,0.714285714,0.833333333,5
fasinating,1,0.950424529,0.635425925,0,0.104304906,10,0,0,fascinating,0.090909091,0.875,1,7
scientic,1,0.967916117,0,0,0.057453272,8,0,0,scientific,0.2,0.857142857,1,6
spous,1,0.98829506,0,0,0.079067167,5,0,0,groups,0.5,0.666666667,1,4
consdidered,1,0.962923759,0,0,0.063731596,11,0,0,considered,0.090909091,1,1,8
angshirs,1,0.993682404,0,0,0.066544863,8,0,0,anxious,0.625,0.4,0.571428571,4
